20140526
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,259.60,259.79,259.42,259.49,-0.51,-0.002,259.6,"2,690","698,335,580.00",　,　
Au9999&nbsp;,260.10,260.10,259.00,259.56,-0.45,-0.0017,259.69,"13,248.88","3,441,014,506.80",　,　
Au100g,259.80,260.40,259.00,259.41,-0.69,-0.0027,259.85,12.4,"3,222,250.00",　,　
Au(T+D),259.71,259.96,259.40,259.55,-0.51,-0.002,259.63,"21,122","5,484,038,800.00","143,780","8,946"
mAu(T+D),259.92,260.13,259.51,259.57,-0.58,-0.0022,259.73,"1,240.20","322,128,812.00","83,360","5,700"
Pt9995&nbsp;,312.00,312.00,310.00,310.60,-1.93,-0.0062,310.48,340,"105,565,000.00",　,　
Ag99.99&nbsp;,4180,4180,4180,4180,17,0.0041,4180,270,"1,128,600.00",18,　
Ag(T+D),4111,4116,4107,4110,-4,-0.001,4110,"356,106","1,463,925,384.00","4,806,168",　
