20100804
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,258.80,260.80,258.80,260.49,2.05,0.008,260.51,"2,728","697,374,340.00",　,　
Au9999,259.80,260.90,258.50,260.63,2.04,0.008,260.41,"1,663.20","433,244,260.00",　,　
Au100g,259.50,261.40,259.00,260.95,1.95,0.008,260.62,40.2,"10,477,256.00",　,　
AuT+D,259.00,260.74,258.25,260.50,2.00,0.008,259.67,"14,926","3,875,861,520.00","123,988","4,970"
Au(T+N1),259.40,260.50,259.40,259.95,1.45,0.006,259.95,4,"1,039,800.00",18,　
Pt9995,359.75,361.00,359.75,360.83,0.83,0.002,360.41,80,"28,833,500.00",　,　
Ag(T+D),4195.00,4204.00,4177.00,4192.00,11.00,0.003,4194.00,"245,280","1,028,727,778.00","697,344",　
