20100129
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,241.00,241.01,239.00,239.62,-1.35,-0.0056,239.77,"3,554","852,177,480.00",&nbsp;,&nbsp;
Au9999,243.49,243.49,239.50,239.70,-1.30,-0.0054,239.82,"5,969","1,431,586,412.00",&nbsp;,&nbsp;
Au100g,243.00,243.50,240.00,241.07,-0.88,-0.0036,241.08,102.2,"24,619,716.00",&nbsp;,&nbsp;
Au50g,240.00,240.00,240.00,240.00,-4.00,-0.0164,240.00,10,"2,400,000.00",&nbsp;,&nbsp;
AuT+D,240.50,241.10,237.81,238.63,-1.20,-0.005,239.07,"13,390","3,201,165,040.00","133,116",240
Au(T+N1),239.20,239.20,239.18,239.19,-0.51,-0.0021,239.19,12,"2,870,360.00",34,&nbsp;
Pt9995,346.50,346.50,343.00,344.50,-0.58,-0.0017,344.40,332,"114,342,000.00",&nbsp;,&nbsp;
Ag(T+D),"3,947.00","3,950.00","3,880.00","3,891.00",-37.00,-0.0094,"3,908.00","163,888","640,633,940.00","639,706",&nbsp;
