20140807
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,258.60,259.09,258.60,258.72,2.40,0.0094,258.94,"2,794","723,489,900.00",　,　
Au9999&nbsp;,256.80,265.50,256.80,258.71,2.26,0.0088,259.04,"14,664.60","3,798,858,872.80",　,　
Au100g,260.00,260.00,258.60,258.97,2.19,0.0085,259.19,24.4,"6,324,350.00",　,　
Au(T+D),257.99,259.10,257.99,258.49,2.37,0.0093,258.82,"38,912","10,071,343,080.00","135,142","7,382"
mAu(T+D),258.00,259.15,258.00,258.75,2.51,0.0098,258.8,"3,569","923,667,800.00","126,788","15,376"
Pt9995&nbsp;,304.50,306.50,304.00,305.00,0.75,0.0025,305.6,280,"85,568,500.00",　,　
Ag(T+D),4250,4267,4245,4250,16,0.0038,4254,"1,142,762","4,861,987,880.00","4,943,536",　
