20030403
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,88.5,88.18,88.5,88.06,-0.79,-0.89%,88.24,399,"35,208,200"
Au99.99,88.51,88.22,88.51,88.11,-0.79,-0.89%,88.19,393,"34,658,210"
