20030411
&nbsp;品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,87.11,86.93,87.12,86.88,-0.46,-0.53%,86.99,486,"42,276,300"
Au99.99,87.2,87.2,87.25,87.05,-0.21,-0.24%,87.15,476,"41,483,200"
