20021213
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,87,87.86,88,87,1.42,1.64%,87.84,520,"45,678,660"
Au99.99,87.84,87.9,87.9,87.84,1.45,1.68%,87.89,127,"11,162,260"
