20030122
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,96.2,96.1,97.3,96,0.2,0.21%,96.76,"1,472","142,425,320"
Au99.99,97.5,97.42,97.5,97.35,1.15,1.19%,97.42,7,"681,930"
