20030217
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.98,93.05,94.35,92.7,-3.38,-3.51%,93.22,500,"46,610,830"
Au99.99,92.5,93.22,94.6,92.5,-3.24,-3.36%,93.43,344,"32,140,990"
