20080901
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量
Au99.95,183.00,183.6,182.88,183.60,-0.09,-0.05%,183.16,"2,598","475,868,500.00",&nbsp;
Au99.99,183.98,183.98,182.50,183.80,-0.18,-0.10%,183.46,"1,588.40","293,869,990.00",&nbsp;
Au100g,184.00,184.9,183.50,183.97,0.02,0.01%,183.96,17.60,"3,237,702.00",&nbsp;
Au(T+D),182.40,183.55,182.20,183.50,-0.20,-0.11%,183.04,"4,060","743,161,720.00","56,516"
Au(T+N1),182.78,183.12,182.77,183.09,-0.53,-0.29%,182.94,896,"163,917,100.00",2
Pt99.95,335.00,335.00,330.00,331.10,-6.51,-1.90%,334.13,146,"48,784,000.00",&nbsp;
Ag(T+D),"3,163.00","3,230.00","3,163.00","3,225.00",15.00,0.47%,"3,199","4,176","13,361,364.00","88,682"
