20021202
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.3,85.41,85.46,85.3,0.18,0.21%,85.4,402,"34,332,160"
Au99.99,85.33,85.55,85.55,85.33,-0.05,-0.06%,85.55,45,"3,849,530"
