20021115
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,84.81,84.78,84.81,84.71,-0.33,-0.39%,84.76,222,"18,815,670"
Au99.99,85,85,85.02,85,0.03,0.04%,85,122,"10,370,250"
