20110114
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au100g,300.00,300.00,297.70,298.00,-0.79,-0.0026,298.84,61.4,"18,348,902.00",　,　
Au9995&nbsp;,297.25,297.25,295.61,295.70,-2.3,-0.0077,296.57,"2,190","649,501,640.00",　,　
Au9999&nbsp;,299.50,299.50,295.70,295.79,-2.01,-0.0067,296.92,"9,974","2,961,333,488.00",　,　
Pt9995&nbsp;,396.75,401.00,396.75,400.25,5.5,0.0139,399.53,126,"50,341,500.00",　,　
Ag(T+D),6475.00,6505.00,6388.00,6399.00,-77,-0.0119,6433,"637,864","4,103,535,610.00","1,594,168","2,520&nbsp;"
Au(T+D),296.48,297.50,294.31,294.50,-1.7,-0.0057,295.44,"12,924","3,818,359,020.00","148,486",300&nbsp;
