20190709
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,311.00,311.80,311.00,311.25,-1.97,-0.63%,311.24,384.00,"119,518,600.00",-,,
Au99.99,314.88,314.88,311.12,311.49,-2.58,-0.82%,311.52,"15,894.18","4,951,596,645.00",-,,
Au100g,313.12,313.20,311.00,311.58,-2.64,-0.84%,312.08,28.00,"8,738,464.00",-,,
iAu99.99,309.50,309.50,308.50,308.57,-2.26,-0.73%,308.57,400.50,"123,584,580.00",-,,
Au(T+D),314.00,314.25,311.01,311.40,-1.05,-0.34%,311.90,"81,268.00","25,348,067,780.00","289,338",多支付给空,"24,244"
Au(T+N1),319.15,319.35,316.25,316.65,-1.00,-0.31%,316.70,150.60,"47,693,900.00","54,096",多支付给空,960
Au(T+N2),315.65,316.75,312.80,313.50,-0.55,-0.18%,313.55,"1,114.00","349,278,540.00","489,448",多支付给空,"1,420"
mAu(T+D),314.00,314.22,311.13,311.44,-1.18,-0.38%,311.93,"12,744.00","3,975,254,382.00","688,184",空支付给多,"64,720"
Pt99.95,185.50,186.05,185.50,185.93,-0.42,-0.23%,185.83,94.00,"17,468,900.00",-,,
Ag(T+D),"3,617","3,620","3,597","3,607",-10,-0.28%,"3,606","2,246,618.00","8,103,428,090.00","12,476,244",多支付给空,"163,080"
PGC30g,314.00,314.00,313.00,313.33,0.48,0.15%,313.33,0.18,"56,400.00",-,,
