20140710
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,263.51,264.85,263.41,264.71,1.14,0.0043,264.61,"2,782","736,172,020.00",　,　
Au9999&nbsp;,263.51,265.00,263.45,264.79,1.03,0.0039,264.73,"15,525.68","4,106,675,020.60",　,　
Au100g,263.56,264.96,263.28,264.70,1.18,0.0045,264.57,53.8,"14,234,278.00",　,　
Au(T+D),263.80,264.89,263.12,264.80,1.88,0.0072,264.41,"27,938","7,387,263,340.00","139,066","5,602"
mAu(T+D),263.75,264.99,263.20,264.83,1.74,0.0066,264.42,"1,995.40","527,640,784.00","105,362","7,176"
Pt9995&nbsp;,314.00,316.00,314.00,315.50,1.50,0.0048,315.18,150,"47,278,000.00",　,　
Ag99.99&nbsp;,4340,4360,4340,4351,21,0.0048,4349,"4,320","18,791,400.00",288,　
Ag(T+D),4307,4335,4283,4323,32,0.0075,4313,"1,552,644","6,697,071,230.00","4,806,256",　
