20021211
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,86.58,86.24,86.58,86.2,-0.34,-0.39%,86.23,293,"25,265,460"
Au99.99,86.55,86.32,86.55,86.22,-0.28,-0.32%,86.33,73,"6,301,930"
