20121107
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,339.38,347.20,334.00,347.00,7.62,0.0225,345.49,"4,494","1,552,671,000.00",　,　
Au9999&nbsp;,343.78,347.25,339.12,347.18,7.76,0.0229,345.65,"3,022.80","1,044,851,432.00",　,　
Au100g,341.39,347.68,340.20,347.32,7.42,0.0218,345.69,104.6,"36,159,606.00",　,　
Au(T+D),340.00,347.25,339.80,346.99,7.95,0.0234,344.52,"27,636","9,521,248,360.00","158,950","11,060&nbsp;"
Pt9995&nbsp;,325.00,329.00,324.00,329.00,2.5,0.0077,326.62,340,"111,051,000.00",　,　
Ag(T+D),6519.00,6708.00,6475.00,6686.00,210,0.0324,6613,"1,918,418","12,686,651,806.00","3,426,298",90&nbsp;
