20190711
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,314.00,317.30,314.00,316.60,5.79,1.86%,316.69,444.00,"140,610,400.00",-,,
Au99.99,312.49,318.00,306.99,316.50,5.36,1.72%,316.83,"17,292.72","5,402,944,840.60",-,,
Au100g,314.35,317.50,313.04,316.70,5.27,1.69%,316.06,42.60,"13,464,328.00",-,,
iAu99.99,309.00,314.50,309.00,314.13,5.88,1.91%,313.95,9.66,"3,032,804.40",-,,
Au(T+D),311.65,318.19,311.00,316.59,5.07,1.63%,315.40,"150,308.00","47,407,519,600.00","306,442",多支付给空,"35,582"
Au(T+N1),315.80,323.00,315.80,322.10,4.90,1.54%,320.70,108.40,"34,762,510.00","55,192",多支付给空,180
Au(T+N2),314.95,320.50,314.00,318.80,5.10,1.63%,317.70,90.80,"28,849,120.00","487,934",多支付给空,"1,420"
mAu(T+D),311.71,318.21,311.05,316.61,5.01,1.61%,315.57,"23,089.20","7,286,395,470.00","689,618",空支付给多,"52,470"
Pt99.95,189.00,189.28,188.72,188.89,3.48,1.88%,188.91,76.00,"14,357,840.00",-,,
Ag(T+D),"3,608","3,644","3,608","3,638",28,0.78%,"3,634","4,769,420.00","17,332,236,622.00","12,250,714",多支付给空,"128,400"
PGC30g,315.50,318.00,315.50,317.12,4.37,1.40%,317.12,0.24,"76,110.00",-,,
