20021101
&nbsp;品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,系统成交量,系统成交金额
Au99.95,84,84.45,84.55,84,0.79,0.94%,84.29,69,"5,816,140"
Au99.99,84.5,84.51,84.65,84,0.6,0.72%,84.45,77,"6,502,510"
