20140219
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,258.30,258.45,257.90,258.26,0.29,0.0011,258.10,"2,970","766,568,960.00",　,　
Au9999&nbsp;,258.01,259.15,257.02,258.24,0.23,0.0009,258.14,"13,091.42","3,379,434,498.60",　,　
Au100g,257.99,259.49,257.58,258.28,0.29,0.0011,258.37,65.4,"16,897,538.00",　,　
Au(T+D),257.50,259.60,257.11,258.23,-0.38,-0.0015,258.22,"27,568","7,118,632,780.00","175,944","14,270"
mAu(T+D),257.50,259.20,256.20,258.35,-0.44,-0.0017,258.29,319.2,"82,448,152.00","23,302","2,112"
Pt9995&nbsp;,292.00,292.50,290.50,290.75,-1.30,-0.0045,291.31,362,"105,455,000.00",　,　
Ag99.99&nbsp;,4355,4355,4355,4355,32,0.0074,4355,390,"1,698,450.00",26,　
Ag(T+D),4310,4387,4310,4357,1,0.0002,4354,"1,817,644","7,914,041,470.00","4,065,796",120
