20030108
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.8,93.27,93.3,92.8,-0.31,-0.33%,93.19,435,"40,539,660"
Au99.99,93.6,93.37,93.6,93.3,-0.3,-0.32%,93.35,188,"17,550,570"
