20030116
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,89.5,89.71,89.8,89.1,0.68,0.76%,89.64,447,"40,070,610"
Au99.99,89.78,89.85,89.98,89.5,0.57,0.64%,89.79,572,"51,361,600"
