20131018
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,259.99,260.60,259.29,260.00,6.52,0.0257,259.98,"2,162","562,085,020.00",　,　
Au9999&nbsp;,255.80,260.99,255.80,260.13,6.11,0.0241,259.99,"9,990.60","2,597,478,098.00",　,　
Au100g&nbsp;,260.00,260.50,259.33,260.02,4.53,0.0177,259.99,84.8,"22,047,432.00",　,　
Au(T+D)&nbsp;,259.80,260.80,259.00,259.80,6.03,0.0238,259.98,"45,738","11,891,031,140.00","189,498","14,718"
Pt9995&nbsp;,298.00,298.50,297.50,298.19,8.82,0.0305,298.06,72,"21,461,000.00",　,　
Ag(T+D)&nbsp;,4385,4405,4361,4394,105,0.0245,4378,"1,776,602","7,778,844,802.00","3,570,494","8,160"
