20100526
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995&nbsp;,262.00,265.10,262.00,264.84,3.47,0.013,264.62,"2,998","793,331,660.00",&nbsp;,&nbsp;
Au9999&nbsp;,263.50,265.20,262.40,265.20,3.91,0.015,264.63,"1,760.40","465,870,368.00",&nbsp;,&nbsp;
Au100g,263.00,265.50,262.00,265.21,3.52,0.014,264.32,59,"15,595,036.00",&nbsp;,&nbsp;
Au(T+D),262.10,265.19,262.10,264.67,3.37,0.013,263.82,"24,608","6,492,301,080.00","123,922","5,020&nbsp;"
Au(T+N1),263.00,263.00,263.00,263.00,2.10,0.008,263.00,4,"1,052,000.00",20,&nbsp;
Pt9995&nbsp;,345.00,350.00,345.00,349.15,2.49,0.007,346.62,214,"74,178,000.00",&nbsp;,&nbsp;
Ag99.99&nbsp;,4170.00,4170.00,4170.00,4170.00,35.00,0.009,4170.00,"1,500","6,255,000.00",100,&nbsp;
Ag(T+D),4105.00,4148.00,4088.00,4141.00,49.00,0.012,4126.00,"215,418","888,905,840.00","613,208","2,820&nbsp;"
