20111104
"bodyOnLoadScript="""";window.MenuBar=false;functionbodyClick(){if(event.button==""2""){event.cancelBubble=true;returnfalse;}}",开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,360.00,360.00,358.81,359.30,8.73,0.0249,359.49,"1,994","716,826,800.00",　,　
Au9999&nbsp;,361.00,361.00,356.01,359.49,6.09,0.0172,359.54,"3,132.20","1,126,166,444.00",　,　
Au100g,360.00,360.00,357.10,359.37,5.78,0.0163,359.24,100.2,"35,996,152.00",　,　
Au(T+D),359.80,360.60,357.26,359.41,5.12,0.0145,359.46,"23,416","8,417,294,500.00","129,692","13,552&nbsp;"
"//functionSelectEvent(value,index){this.values=value.split("";"")this.index=index;}functionexportbrowseTMTradeQuotationExcel(){myform.action=""browseTMTradeQuotation?.xls"";myform.view_command.value=""export_excel"";myform.target=""_blank"";myform.submit();myform.target=""_self"";myform.view_command.value="""";}functionSelectListener(){this.onSelectChanged="""";}varselectListener=newSelectListener();varoldEvent;functionmyform_select(value,index){values=value.split("";"")varevent=newSelectEvent(value,index);str=selectListener.onSelectChanged+""(event,oldEvent);"";eval(str);oldEvent=event;}functionopenUrl(url){document.location=url}functionisSelected(){checked=false;if(document.myform.myform_radio!=null){a=document.myform.myform_radio;if(a.length!=null){for(i=0;i<a.length;i++){if(a(i).type==""radio""&&a(i).checked==true){checked=true;break;}}}else{if(a.type==""radio""&&a.checked==true){checked=true;}}}returnchecked;}functiondoCommand(action,checkselect,confirm){if(checkselect){if(!isSelected()){alert(""请选择一条记录！"");return;}}if(confirm!=null&&confirm!=""""){vartt=window.confirm(confirm.replace(""(?)"",document.myform.myform_radio.value));if(tt){myform.action=action;myform.table_command.value=action;myform.submit();}}else{myform.action=action;myform.submit();}}functionbodyOnLoad(){eval(bodyOnLoadScript);}",348.00,348.00,345.00,347.50,8.72,0.0257,347.18,136,"47,217,000.00",　,　
Ag99.99&nbsp;,7150,7150,7150,7150,650,0.1,7150,30,"214,500.00",2,　
Ag(T+D),7270,7330,7130,7264,116,0.0162,7243,"1,286,476","9,318,110,658.00","1,819,808",780&nbsp;
