20110503
&nbsp;,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,321.00,323.50,321.00,322.47,2.53,0.008,322.48,"3,000","967,460,840.00",　,　
Au9999&nbsp;,316.20,323.90,316.00,322.00,1.83,0.006,322.57,"2,529.20","815,865,166.00",　,　
Au100g,320.45,323.98,320.45,322.64,2.26,0.007,322.37,108.8,"35,074,788.00",　,　
Au(T+D),321.60,323.58,321.25,322.05,2.17,0.007,322.38,"18,222","5,874,453,940.00","119,378","3,664&nbsp;"
Pt9995&nbsp;,403.00,406.00,403.00,404.00,3.22,0.008,404.19,130,"52,545,000.00",　,　
Ag(T+D),9787.00,10050.00,9787.00,9845.00,-717.00,-0.068,9888.00,"1,375,512","13,602,361,610.00","2,913,076","2,400&nbsp;"
