20021120
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.06,84.96,85.06,84.86,-0.1,-0.12%,84.94,168,"14,269,080"
Au99.99,85.3,85,85.3,84.85,-0.22,-0.26%,84.99,75,"6,374,320"
