20100201
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995&nbsp;,239.50,239.65,238.40,239.36,-0.26,-0.001,239.07,"6,086","1,455,009,560.00",&nbsp;,&nbsp;
Au9999&nbsp;,239.39,239.89,238.35,239.61,-0.09,0.000,239.08,"4,868.40","1,163,950,692.00",&nbsp;,&nbsp;
Au100g,242.50,242.50,239.45,240.22,-0.85,-0.004,240.35,30.8,"7,402,872.00",&nbsp;,&nbsp;
Au50g,239.80,239.80,239.80,239.80,-0.20,-0.001,239.80,8,"1,918,400.00",&nbsp;,&nbsp;
Au(T+D),238.28,239.00,237.51,238.73,0.10,0.000,238.28,"4,700","1,119,953,120.00","135,376",90&nbsp;
Pt9995&nbsp;,347.00,347.00,345.50,345.66,1.16,0.003,346.04,140,"48,446,000.00",&nbsp;,&nbsp;
Ag(T+D),3895.00,3912.00,3862.00,3884.00,-7.00,-0.002,3880.00,"64,864","251,673,328.00","651,752",&nbsp;
