20080903
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量
Au99.95,179.00,179.00,176.00,176.12,-1.86,-1.00%,176.99,"1,992","352,567,480.00",&nbsp;
Au99.99,175.03,179.00,175.03,176.30,-1.98,-1.10%,177.24,"1,517.8","269,017,276.00",&nbsp;
Au100g,178.79,179.48,176.00,176.32,-2.27,-1.30%,177.53,44,"7,811,516.00",&nbsp;
Au(T+D),174.60,178.00,174.01,175.92,-1.93,-1.09%,176.33,"12,496","2,203,534,380.00","59,740"
Au(T+N1),177.29,177.75,176.66,176.78,-2.54,-1.42%,177.30,916,"162,410,580.00",2
Au(T+N2),177.40,177.40,177.40,177.40,-1.80,-1.00%,177.40,464,"82,313,600.00",504
Pt99.95,319.00,324.50,319.00,323.45,-1.08,-0.30%,323.60,260,"84,137,600.00",&nbsp;
Ag(T+D),"2,999.00","3,088.00","2,978.00","3,020.00",-90.00,-2.89%,"3,040.00","27,952","84,980,434.00","93,992"
