20140714
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,267.50,267.50,262.70,262.71,-4.17,-0.0156,264.80,"4,294","1,137,065,980.00",　,　
Au9999&nbsp;,266.90,267.75,262.75,263.26,-3.63,-0.0136,265.07,"9,342.32","2,476,383,243.40",　,　
Au100g,266.43,266.97,263.00,263.09,-3.61,-0.0135,265.37,40.4,"10,721,066.00",　,　
Au(T+D),266.99,267.10,262.60,263.05,-4.07,-0.0152,264.99,"29,712","7,873,674,400.00","135,512","11,234"
mAu(T+D),266.85,267.80,262.80,263.30,-3.98,-0.0149,265.08,"3,041.80","806,344,792.00","104,680","13,130"
Pt9995&nbsp;,315.00,315.50,313.00,313.39,-2.01,-0.0064,314.46,82,"25,786,000.00",　,　
Ag99.99&nbsp;,4439,4470,4365,4437,22,0.005,4438,"7,800","34,622,400.00",520,　
Ag(T+D),4401,4408,4341,4355,-36,-0.0082,4374,"1,969,142","8,614,373,936.00","4,809,672","4,020"
