20100809
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,262.61,263.90,262.61,263.59,2.25,0.009,263.24,16.6,"4,369,894.00",　,　
Au9995,262.88,263.55,260.62,263.53,2.33,0.009,263.13,"2,938","773,087,540.00",　,　
Au9999,263.00,263.55,262.38,263.50,2.19,0.008,263.15,"2,181","573,945,410.00",　,　
Pt9995,354.00,354.00,353.00,354.00,-1.50,-0.004,353.58,206,"72,839,000.00",　,　
Ag(T+D),4199.00,4199.00,4188.00,4196.00,12.00,0.003,4194.00,"72,704","304,966,880.00","696,952",　
AuT+D,262.39,263.55,262.30,263.33,2.23,0.009,263.05,"10,606","2,789,936,780.00","120,420","2,788"
Au(T+N1),262.80,262.80,262.80,262.80,2.00,0.008,262.80,2,"525,600.00",14,　
