20100812
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,262.50,263.00,262.01,263.00,0.50,0.002,262.81,15.4,"4,047,376.00",　,　
Au9995,262.80,262.80,261.80,262.47,0.61,0.002,262.20,"2,092","548,537,280.00",　,　
Au9999,263.80,263.80,261.05,262.62,0.80,0.003,262.17,"2,085.80","546,925,314.00",　,　
Pt9995,348.50,348.50,342.50,342.63,-5.97,-0.017,343.76,378,"129,944,500.00",　,　
Ag(T+D),4183.00,4187.00,4150.00,4167.00,-9.00,-0.002,4161.00,"235,300","979,238,916.00","739,836",　
AuT+D,262.91,263.03,261.00,262.41,0.67,0.003,262.14,"15,282","4,006,045,460.00","117,934","3,686"
