20021105
交易品种,开盘价,收盘价,最高价,最低价,加权平均价,成交量（kg）,&nbsp;成交额&nbsp;&nbsp;元),涨跌,涨跌幅
Au9995,84.95,84.83,84.95,84.68,84.83,165,"13,997,270",-0.06,0.07%
Au9999,85.1,85.13,85.2,85.1,85.14,61,"5,193,650",0.14,0.16%
