20100623
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,271.00,272.25,271.00,272.23,1.03,0.0038,271.78,"3,096","841,461,580.00",&nbsp;,&nbsp;
Au9999,272.00,272.30,271.30,272.30,0.76,0.0028,271.89,"2,638.20","717,231,776.00",&nbsp;,&nbsp;
Au100g,271.50,273.88,271.21,272.47,0.94,0.0035,272.41,28.4,"7,736,482.00",&nbsp;,&nbsp;
AuT+D,270.81,272.39,270.81,272.21,0.91,0.0034,271.76,"13,022","3,538,868,660.00","115,960","4,146"
Au(T+N1),272.00,272.00,272.00,272.00,0.90,0.0033,272.00,2,"544,000.00",20,&nbsp;
Pt9995,361.00,362.00,357.50,358.75,-3.25,-0.009,358.64,254,"91,095,500.00",&nbsp;,&nbsp;
Ag99.99,"4,275.00","4,275.00","4,275.00","4,275.00",-71.00,-0.016,"4,275.00","1,500","6,412,500.00",100,&nbsp;
Ag(T+D),"4,249.00","4,278.00","4,249.00","4,268.00",21.00,0.0049,"4,265.00","136,688","583,072,982.00","639,292","1,500"
