20121114
&nbsp;,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,346.10,346.82,345.70,345.70,-0.29,-0.0008,346.47,"3,550","1,229,969,820.00",　,　
Au9999&nbsp;,348.00,348.00,345.00,346.29,0.28,0.0008,346.65,"4,419.80","1,532,137,718.00",　,　
Au100g&nbsp;,346.60,347.50,345.00,346.49,0.41,0.0012,346.93,50.4,"17,485,578.00",　,　
Au(T+D),346.30,346.89,344.50,346.26,0.16,0.0005,346.22,"14,684","5,084,022,000.00","166,872","7,710&nbsp;"
Pt9995&nbsp;,332.50,335.00,332.50,334.97,6.74,0.0205,334.33,110,"36,776,600.00",　,　
Ag(T+D),6730.00,6748.00,6651.00,6721.00,34,0.0051,6713.00,"1,199,344","8,051,665,472.00","3,356,336",　
