20110107
,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,296.50,297.79,296.00,296.86,-1.27,-0.0043,297.32,"4,408","1,310,604,260.00",　,　
Au9999&nbsp;,298.57,298.57,295.85,296.89,-1.68,-0.0056,297.2,"8,187.40","2,433,297,556.00",　,　
Au100g,298.00,299.50,296.64,297.36,-1.64,-0.0055,298.1,67,"19,973,072.00",　,　
Au(T+D),294.99,296.20,293.99,294.89,-1.53,-0.0052,294.8,"16,096","4,745,173,560.00","139,894",50&nbsp;
"//functionSelectEvent(value,index){this.values=value.split("";"")this.index=index;}functionexportbrowseTMTradeQuotationExcel(){myform.action=""browseTMTradeQuotation?.xls"";myform.view_command.value=""export_excel"";myform.target=""_blank"";myform.submit();myform.target=""_self"";myform.view_command.value="""";}functionSelectListener(){this.onSelectChanged="""";}varselectListener=newSelectListener();varoldEvent;functionmyform_select(value,index){values=value.split("";"")varevent=newSelectEvent(value,index);str=selectListener.onSelectChanged+""(event,oldEvent);"";eval(str);oldEvent=event;}functionopenUrl(url){document.location=url}functionisSelected(){checked=false;if(document.myform.myform_radio!=null){a=document.myform.myform_radio;if(a.length!=null){for(i=0;i<a.length;i++){if(a(i).type==""radio""&&a(i).checked==true){checked=true;break;}}}else{if(a.type==""radio""&&a.checked==true){checked=true;}}}returnchecked;}functiondoCommand(action,checkselect,confirm){if(checkselect){if(!isSelected()){alert(""请选择一条记录！"");return;}}if(confirm!=null&&confirm!=""""){vartt=window.confirm(confirm.replace(""(?)"",document.myform.myform_radio.value));if(tt){myform.action=action;myform.table_command.value=action;myform.submit();}}else{myform.action=action;myform.submit();}}functionbodyOnLoad(){eval(bodyOnLoadScript);}",382.00,382.00,379.50,380.50,-2.36,-0.0062,380.82,480,"182,794,500.00",　,　
Ag(T+D),6403,6455,6375,6389,-71,-0.011,6410,"720,892","4,621,099,394.00","1,501,032","1,260&nbsp;"
