20021218
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,89.94,89.8,89.94,89.71,-0.2,-0.22%,89.83,462,"41,502,580"
Au99.99,90.15,90.15,90.15,90.07,0.04,0.04%,90.12,103,"9,282,620"
