20030221
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,95.65,95.02,95.65,95,0.13,0.14%,95.41,584,"55,722,130"
Au99.99,95.5,95.19,95.55,95.08,0.31,0.33%,95.43,432,"41,225,910"
