20120921
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,357.80,360.00,357.80,359.79,2.36,0.0066,359.82,"3,490","1,255,784,520.00",　,　
Au9999&nbsp;,359.00,360.30,357.11,359.53,2.21,0.0062,359.86,"3,344.60","1,208,246,676.00",　,　
Au(T+D),358.30,360.05,356.80,359.63,1.05,0.0029,359.30,"16,216","5,826,524,880.00","145,778","10,284&nbsp;"
Au100g,359.00,360.19,357.20,360.00,2.32,0.0065,359.67,86.4,"31,075,590.00",　,　
Pt9995&nbsp;,344.50,348.20,342.50,348.00,4.59,0.0134,346.88,162,"56,196,000.00",　,　
Ag999,7243,7243,7230,7236,492,0.073,7236,"3,840","27,788,160.00",256,　
Ag(T+D),7241,7290,7164,7269,33,0.0046,7250,"1,353,062","9,810,297,664.00","3,054,298",　
