20021128
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.3,85.54,85.55,85.3,-0.04,-0.05%,85.44,195,"16,660,800"
Au99.99,85.55,85.53,85.55,85.51,0.01,0.01%,85.53,25,"2,138,310"
