20080908
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量
Au99.95,178.90,180.00,178.90,179.53,3.17,1.80%,179.49,"1,636","293,647,540.00",&nbsp;
Au99.99,178.70,180.60,178.70,179.89,2.99,1.70%,179.72,"1,332.6","239,499,808.00",&nbsp;
Au100g,179.51,180.30,179.51,180.00,3.03,1.70%,179.99,13.40,"2,411,886.00",&nbsp;
Au(T+D),179.69,179.90,178.11,179.48,3.40,1.93%,179.16,"6,894","1,235,176,260.00","57,072"
Au(T+N1),178.28,179.41,178.28,179.37,3.48,1.98%,178.90,216,"38,643,360.00",2
Au(T+N2),179.00,179.60,179.00,179.16,3.81,2.17%,179.16,916,"164,118,800.00",504
Pt99.95,320.00,320.50,318.00,318.50,2.23,0.70%,319.53,148,"47,291,000.00",&nbsp;
Ag(T+D),"3,140.00","3,140.00","3,080.00","3,112.00",31.00,1.01%,"3,109.00","13,832","43,005,182.00","101,130"
