20080905
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(,成交金额（元）,持仓量
Au99.95,176.60,177.00,175.29,176.36,-1.97,-1.10%,176.11,"2,384","419,854,740.00",&nbsp;
Au99.99,179.00,179.00,175.30,176.90,-1.81,-1.00%,176.87,"2,405.6","431,791,764.00",&nbsp;
Au100g,180.00,180.00,176.50,176.97,-1.91,-1.10%,177.32,66.4,"11,774,400.00",&nbsp;
Au(T+D),178.40,178.58,174.60,176.08,-2.52,-1.41%,176.24,"15,862","2,795,609,160.00","59,250"
Au(T+N1),176.23,176.27,175.79,175.89,-1.56,-0.88%,176.09,216,"38,037,360.00",2
Au(T+N2),175.30,175.40,175.30,175.35,-2.45,-1.38%,175.35,856,"150,099,600.00",504
Pt99.95,324.00,324.00,315.50,316.27,2.73,0.90%,317.15,210,"66,603,200.00",&nbsp;
Ag(T+D),"3,090.00","3,128.00","3,041.00","3,081.00",-33.00,-1.06%,"3,078.00","23,376","71,958,330.00","95,848"
