20080811
品种,开盘价,最高价,最低价,收盘价,涨跌,加权平均价,成交量,成交金额,持仓量,交收量
Au9995,191.00,191.00,189.80,189.89,-1.84,190.20,"2,374","451,546,040.00",&nbsp;,&nbsp;
Au9999,193.00,193.00,189.80,189.88,-1.62,190.65,"1,512","288,270,540.00",&nbsp;,&nbsp;
Au100g,193.98,193.98,190.40,190.86,-1.90,191.44,77.40,"14,817,742.00",&nbsp;,&nbsp;
AuT+D,190.50,190.80,189.61,189.77,-1.70,190.26,"9,412","1,790,749,820.00","70,874",3848
Au(T+N1),190.31,190.42,189.87,190.00,-2.03,190.15,720,"136,913,760.00",2,&nbsp;
Pt9995,356.50,359.00,356.50,358.18,-0.96,357.03,78,"27,849,000.00",&nbsp;,&nbsp;
Ag(T+D),"3,670.00","3,670.00","3,550.00","3,553.00",-156.00,"3,595.00","12,924","46,467,442.00","80,050",&nbsp;
