20030321
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,　成交金额
Au99.95,89.8,90.01,90.04,89.42,0.29,0.32%,89.76,464,"41,649,380"
Au99.99,89.8,90.15,90.15,89.8,0.5,0.56%,89.93,214,"19,244,460"
