20030124
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,97.3,97.72,97.96,97.3,0.11,0.11%,97.9,802,"78,515,200"
Au99.99,98.3,97.98,98.3,97.94,0.28,0.29%,98.04,95,"9,314,120"
