20021112
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.1,85.03,85.13,85.01,-0.13,-0.15%,85.06,204,"17,352,310"
Au99.99,85.26,85.29,85.32,85.26,0.1,0.12%,85.29,13,"1,108,750"
