20030314
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,92.2,90.26,92.2,90,-2.48,-2.67%,90.16,292,"26,325,570"
Au99.99,91.2,90.24,91.2,89.95,-2.52,-2.72%,90.11,693,"62,445,060"
