20191114
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,330.80,331.70,330.80,331.70,1.23,0.37%,331.03,412.00,"136,386,500.00",-,,
Au99.99,330.00,332.40,330.00,331.98,1.08,0.33%,331.39,"9,282.88","3,055,930,503.40",-,,
Au100g,332.15,333.25,331.01,332.33,0.35,0.11%,331.87,18.40,"6,106,446.00",-,,
iAu99.99,232.51,331.30,232.51,330.83,1.53,0.46%,330.51,"1,444.64","477,470,301.20",-,,
Au(T+D),331.11,332.10,330.30,331.78,2.64,0.80%,331.23,"45,166.00","14,960,482,060.00","216,032",多支付给空,"18,704"
Au(T+N1),337.00,337.00,335.75,337.00,2.55,0.76%,336.65,8.40,"2,827,780.00","98,142",,"19,900"
Au(T+N2),332.05,332.40,332.05,332.20,1.50,0.45%,332.20,3.60,"1,195,940.00","318,598",多支付给空,800
mAu(T+D),331.31,332.18,330.58,331.90,2.46,0.75%,331.51,"8,622.40","2,858,470,336.00","990,702",多支付给空,"19,222"
Pt99.95,203.36,204.30,203.10,204.15,0.17,0.08%,203.91,140.00,"28,548,380.00",-,,
Ag(T+D),"4,105","4,132","4,075","4,107",36,0.88%,"4,102","10,117,322.00","41,506,947,316.00","12,192,440",多支付给空,"126,360"
沪纽金TN06,335.85,336.85,334.75,336.60,3.25,0.97%,335.75,367.40,"123,362,230.00","29,804",,
沪纽金TN12,330.75,332.20,330.40,332.15,3.20,0.97%,331.25,212.80,"70,486,500.00","29,172",,
PGC30g,337.56,338.51,337.56,338.16,1.05,0.31%,338.16,0.30,"101,449.80",-,,
