20121225
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,333.20,333.55,333.05,333.28,-0.72,-0.0022,333.40,"4,804","1,601,692,500.00",　,　
Au9999&nbsp;,334.50,334.50,333.20,333.40,-0.61,-0.0018,333.52,"5,444.60","1,815,208,304.00",　,　
Au100g,335.00,335.69,333.70,333.89,-0.82,-0.0024,334.28,104,"34,765,828.00",　,　
Au(T+D),333.11,334.20,333.00,333.26,0.14,0.0004,333.36,"13,382","4,461,134,540.00","159,294","10,842&nbsp;"
Pt9995&nbsp;,324.50,326.00,323.00,326.00,0.52,0.0016,324.66,300,"97,400,000.00",　,　
Ag(T+D),6276.00,6281.00,6205.00,6210.00,-54,-0.0086,6237.00,"421,176","2,627,145,600.00","3,621,760",　
