20100722
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,260.76,260.80,258.60,259.19,-0.70,-0.0027,259.22,"3,082","798,927,360.00",&nbsp;,&nbsp;
Au9999,260.99,261.00,258.80,259.02,-0.98,-0.0038,259.38,"4,754","1,254,476,146.00",&nbsp;,&nbsp;
Au100g,262.20,262.20,259.50,259.64,-1.43,-0.0055,260.26,46.4,"12,076,450.00",&nbsp;,&nbsp;
AuT+D,260.50,260.85,258.46,258.91,-0.99,-0.0038,259.40,"14,396","3,734,364,660.00","109,238","2,456"
Pt9995,344.00,344.00,342.75,342.78,0.71,0.0021,343.47,124,"42,591,500.00",&nbsp;,&nbsp;
Ag99.99,"4,150.00","4,150.00","4,150.00","4,150.00",0.00,0,"4,150.00",600,"2,490,000.00",40,&nbsp;
Ag(T+D),"4,135.00","4,135.00","4,107.00","4,115.00",-9.00,-0.0022,"4,118.00","103,246","425,266,742.00","934,942",&nbsp;
