20100608
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,267.59,272.50,267.00,272.49,5.32,0.0199,271.67,"4,064","1,104,101,020.00",&nbsp;,&nbsp;
Au9999,268.00,272.54,266.40,272.28,5.07,0.019,271.55,"1,962.80","533,014,614.00",&nbsp;,&nbsp;
Au100g,266.51,272.50,266.51,272.28,4.78,0.0179,271.25,159.4,"43,237,632.00",&nbsp;,&nbsp;
AuT+D,266.79,272.56,266.20,272.48,5.45,0.0204,270.71,"41,372","11,200,132,300.00","120,180","8,788"
Au(T+N1),266.20,272.57,266.20,269.18,0.15,0.0006,269.18,62,"16,689,640.00",22,&nbsp;
Pt9995,342.00,349.00,342.00,348.70,6.70,0.0196,346.37,364,"126,082,000.00",&nbsp;,&nbsp;
Ag99.99,"4,200.00","4,200.00","4,200.00","4,200.00",110.00,0.0269,"4,200.00",450,"1,890,000.00",30,&nbsp;
Ag(T+D),"4,071.00","4,183.00","4,065.00","4,181.00",111.00,0.0273,"4,140.00","384,758","1,593,027,686.00","634,962","8,070"
