20130709
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,250.80,256.10,250.80,253.50,2.92,0.0117,254.51,"5,716","1,454,808,660.00",　,　
Au9999&nbsp;,253.68,256.25,251.19,253.80,2.65,0.0106,254.37,"16,939.40","4,308,913,572.00",　,　
Au100g&nbsp;,252.80,256.50,251.35,253.88,2.87,0.0114,254.15,96.6,"24,551,466.00",　,　
Au(T+D)&nbsp;,249.00,254.75,248.21,253.22,6.9,0.028,251.99,"31,874","8,032,124,320.00","210,794",568&nbsp;
Pt9995&nbsp;,282.50,286.00,282.50,285.42,7.92,0.0285,283.83,104,"29,519,000.00",　,　
Ag99.99&nbsp;,3895,3895,3895,3895,130,0.0345,3895,"3,600","14,022,000.00",240,　
Ag(T+D)&nbsp;,3820,3896,3796,3858,96,0.0255,3840,"2,959,272","11,363,875,632.00","3,414,338","13,710&nbsp;"
