20021106
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,84.65,84.5,84.65,84.5,-0.33,-0.39%,84.54,204,"17,246,310"
Au99.99,84.9,84.9,84.9,84.9,-0.23,-0.27%,84.9,1,"84,900"
