20021108
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.2,85.09,85.3,85.02,0.42,0.50%,85.11,359,"30,554,760"
Au99.99,85.25,85.16,85.28,85.1,0.02,0.02%,85.19,35,"2,981,780"
