20030106
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,93.52,93.83,93.83,93.52,1.19,1.28%,93.79,480,"45,021,460"
Au99.99,93.99,93.95,94,93.9,1.14,1.23%,93.95,219,"20,575,150"
