20100625
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au100g,271.00,272.98,271.00,272.19,1.69,0.0062,271.94,26.6,"7,233,692.00",&nbsp;,&nbsp;
Au9995,271.00,272.23,270.28,272.07,2.14,0.0079,271.81,"2,070","562,664,220.00",&nbsp;,&nbsp;
Au9999,272.00,272.87,270.10,272.19,2.05,0.0076,271.97,"1,515.20","412,255,028.00",&nbsp;,&nbsp;
Pt9995,353.00,358.00,353.00,355.35,-0.27,-0.0008,353.91,220,"77,862,000.00",&nbsp;,&nbsp;
Ag99.99,"4,265.00","4,265.00","4,265.00","4,265.00",30.00,0.0071,"4,265.00",900,"3,838,500.00",60,&nbsp;
Ag(T+D),"4,220.00","4,256.00","4,205.00","4,254.00",40.00,0.0095,"4,238.00","196,216","831,671,212.00","639,192",480
AuT+D,270.32,272.36,269.95,272.19,2.22,0.0082,271.60,"19,912","5,408,254,740.00","123,428","10,452"
