20190902
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,353.20,353.50,353.00,353.00,-1.19,-0.34%,353.20,150.00,"52,980,800.00",-,,
Au99.99,356.00,356.00,352.01,352.99,-1.10,-0.31%,353.48,"16,484.50","5,772,795,712.00",-,,
Au100g,353.80,356.75,353.11,353.54,-1.79,-0.50%,353.82,31.40,"11,110,104.00",-,,
iAu99.99,351.49,351.93,350.80,351.38,-0.92,-0.26%,351.48,57.60,"20,245,302.40",-,,
Au(T+D),353.10,354.88,351.40,352.86,-2.34,-0.66%,353.31,"103,494.00","36,566,408,060.00","299,466",多支付给空,"14,394"
Au(T+N1),362.90,362.90,359.00,359.40,-6.20,-1.70%,359.90,55.20,"19,866,890.00","103,460",多支付给空,"1,400"
Au(T+N2),356.00,357.70,355.05,355.85,-4.50,-1.25%,355.85,80.40,"28,612,000.00","468,066",多支付给空,"1,200"
mAu(T+D),353.21,354.89,351.58,353.07,-2.16,-0.61%,353.44,"14,808.20","5,233,931,460.00","850,002",多支付给空,"29,376"
Pt99.95,222.60,223.00,222.60,222.96,4.30,1.97%,222.74,150.00,"33,412,100.00",-,,
Ag(T+D),"4,510","4,541","4,473","4,504",-14,-0.31%,"4,509","11,489,038.00","51,806,562,472.00","12,337,546",空支付给多,"120,180"
PGC30g,358.00,358.00,354.00,355.17,-4.43,-1.23%,355.17,0.30,"106,551.00",-,,
