20021119
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.05,85.06,85.08,85,-0.22,-0.26%,85.03,187,"15,901,500"
Au99.99,84.85,85.22,85.32,84.85,-0.06,-0.07%,85,86,"7,309,950"
