20191011
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,342.50,344.50,342.50,344.02,-1.72,-0.50%,343.32,764.00,"262,300,940.00",-,,
Au99.99,347.68,347.68,342.56,344.56,-1.85,-0.53%,343.64,"11,520.76","3,812,696,914.00",-,,
Au100g,347.49,347.50,345.00,347.34,-0.14,-0.04%,346.47,14.00,"4,850,608.00",-,,
iAu99.99,341.00,342.75,341.00,342.27,-2.66,-0.77%,341.71,708.26,"242,021,290.00",-,,
Au(T+D),346.50,347.30,342.10,344.35,-2.21,-0.64%,343.84,"76,292.00","26,232,302,280.00","217,266",空支付给多,"9,712"
Au(T+N1),353.90,353.90,348.50,350.25,-2.70,-0.76%,350.00,56.80,"19,881,580.00","102,306",,
Au(T+N2),346.30,348.10,344.00,344.50,-3.55,-1.02%,344.95,64.00,"22,077,030.00","544,122",,
mAu(T+D),346.50,347.43,342.43,344.33,-2.52,-0.73%,344.09,"8,837.60","3,040,961,746.00","824,432",空支付给多,"35,650"
Pt99.95,211.86,213.30,211.75,213.02,2.48,1.18%,212.65,128.00,"27,220,120.00",-,,
Ag(T+D),"4,350","4,368","4,263","4,325",-32,-0.73%,"4,302","12,533,530.00","53,928,072,186.00","11,388,356",多支付给空,"477,390"
PGC30g,353.00,353.00,350.00,351.00,-2.50,-0.71%,351.00,0.18,"63,180.00",-,,
