20120319
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收量
Au9995&nbsp;,340.00,340.10,339.00,339.00,-0.36,-0.0011,339.44,"1,740","590,642,340.00",　,　
Au9999&nbsp;,340.00,340.19,338.90,339.00,-0.40,-0.0012,339.43,"5,779.80","1,961,858,012.00",　,　
Au100g,340.00,341.45,339.50,340.27,-0.94,-0.0028,340.45,39,"13,277,912.00",　,　
Au(T+D),338.50,340.09,338.50,338.76,0.09,0.0003,339.46,"19,226","6,526,596,020.00","133,346","10,166&nbsp;"
Pt9995&nbsp;,354.00,356.00,354.00,354.63,-1.79,-0.0050,354.73,360,"127,703,000.00",　,　
Ag(T+D),6748.00,6777.00,6736.00,6748.00,34.00,0.0051,6757.00,"177,850","1,201,865,200.00","2,143,846","12,300&nbsp;"
