20021219
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,91,92.9,93,91,3.1,3.45%,92.4,674,"62,276,010"
Au99.99,91.62,93.66,94.5,91.62,3.51,3.89%,92.97,37,"3,439,920"
