20030114
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,94.4,94.71,94.73,94.4,0.41,0.43%,94.59,349,"33,013,300"
Au99.99,94.75,94.8,94.8,94.75,0.4,0.42%,94.79,64,"6,066,410"
