20190822
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,343.30,344.00,343.20,343.92,0.95,0.28%,343.59,526.00,"180,733,100.00",-,,
Au99.99,345.00,345.00,342.01,343.80,1.30,0.38%,343.81,"12,724.84","4,175,764,334.60",-,,
Au100g,343.00,343.99,342.65,343.52,-0.30,-0.09%,343.34,42.80,"14,695,332.00",-,,
iAu99.99,341.25,342.00,341.25,341.59,0.10,0.03%,341.53,790.92,"270,127,768.00",-,,
Au(T+D),342.99,344.30,342.79,343.59,0.01,0.00%,343.70,"54,746.00","18,816,430,800.00","295,694",多支付给空,"7,800"
Au(T+N1),349.90,349.90,349.00,349.10,-0.35,-0.10%,349.50,29.80,"10,415,270.00","116,198",,
Au(T+N2),344.10,347.85,344.05,346.15,-0.15,-0.04%,346.00,20.20,"6,989,460.00","472,900",多支付给空,"1,000"
mAu(T+D),343.15,344.30,342.81,343.62,-0.01,0.00%,343.75,"5,896.20","2,026,855,352.00","767,366",空支付给多,"78,254"
Pt99.95,199.96,199.96,199.72,199.86,1.50,0.76%,199.91,54.00,"10,795,440.00",-,,
Ag(T+D),"4,153","4,174","4,145","4,155",0,0.00%,"4,158","5,586,304.00","23,230,823,686.00","11,939,178",多支付给空,"267,150"
PGC30g,344.99,344.99,334.60,339.79,-5.21,-1.51%,339.79,0.12,"40,775.40",-,,
