20021114
品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,加权平均价,成交量,成交金额
Au99.95,85.41,85.11,85.41,85.03,-0.64,-0.75%,85.13,226,"19,239,390"
Au99.99,84.62,84.97,85.48,84.62,-1.02,-1.19%,84.97,3,"254,910"
